FUND TYPE,DEPARTMENT CODE,DEPARTMENT DESCRIPTION,FUND CODE,FUND DESCRIPTION,ORGANIZATION CODE,ORGANIZATION DESCRIPTION,DIVISION CODE,DIVISION DESCRIPTION,SECTION CODE,SECTION DESCRIPTION,SUBSECTION CODE,SUB-SECTION DESCRIPTION,SCHEDULE / GRADE,BARGAINING UNIT,TITLE CODE,TITLE DESCRIPTION,BUDGETED UNIT,TOTAL BUDGETED UNIT,POSITION CONTROL,BUDGETED PAY RATE,TOTAL BUDGETED AMOUNT
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3015,Office of the Press Secretary,0,,1 00,9,740,Press Aide,Annual,1,1,57372,57372
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3100,Office of the Chief Financial Officer,0,,1 00,9,9896,Chief Financial Officer,Annual,1,1,189360,189360
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3105,Office of Community Engagement,0,,1 00,9,9898,Deputy Chief of Staff,Annual,1,1,183804,183804
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3105,Office of Community Engagement,0,,1 00,9,9877,Director - Mayor's Office,Annual,1,1,138132,138132
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3105,Office of Community Engagement,0,,1 00,9,9874,Project Manager - Mayor's Office,Annual,1,1,77256,77256
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3105,Office of Community Engagement,0,,1 00,9,9873,Assistant Deputy Chief of Staff,Annual,1,1,172656,172656
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3105,Office of Community Engagement,0,,1 00,9,9873,Assistant Deputy Chief of Staff,Annual,1,1,132720,132720
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3105,Office of Community Engagement,0,,1 00,9,9873,Assistant Deputy Chief of Staff,Annual,1,1,123804,123804
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3105,Office of Community Engagement,0,,3 00,9,9865,Analyst - Mayor's Office,Annual,1,1,83556,83556
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3105,Office of Community Engagement,0,,1 00,0,3858,Director / Community Liaison,Annual,1,1,95604,95604
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3110,Office of Infrastructure and Services,0,,1 00,9,9877,Director - Mayor's Office,Annual,1,1,139524,139524
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3110,Office of Infrastructure and Services,0,,1 00,9,9872,Deputy Mayor,Annual,1,1,183804,183804
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3110,Office of Infrastructure and Services,0,,1 00,9,9871,Assistant Deputy Mayor,Annual,1,1,140436,140436
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3110,Office of Infrastructure and Services,0,,1 00,9,9871,Assistant Deputy Mayor,Annual,1,1,139260,139260
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3115,Office of Education and Human Services,0,,1 00,9,9877,Director - Mayor's Office,Annual,1,1,138132,138132
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3115,Office of Education and Human Services,0,,1 00,9,9874,Project Manager - Mayor's Office,Annual,1,1,102912,102912
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3115,Office of Education and Human Services,0,,1 00,9,9872,Deputy Mayor,Annual,1,1,183804,183804
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3115,Office of Education and Human Services,0,,1 00,9,9871,Assistant Deputy Mayor,Annual,1,1,118464,118464
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3115,Office of Education and Human Services,0,,3 00,9,9866,Senior Analyst - Mayor's Office,Annual,1,1,84468,84468
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3120,Office of Intergovernmental Affairs,0,,1 00,9,9892,Office Manager - Washington D.C.,Annual,1,1,143436,143436
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3120,Office of Intergovernmental Affairs,0,,1 00,9,9875,Senior Project Manager - Mayor's Office,Annual,1,1,136512,136512
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3120,Office of Intergovernmental Affairs,0,,1 00,9,9872,Deputy Mayor,Annual,1,1,183804,183804
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3120,Office of Intergovernmental Affairs,0,,1 00,9,9855,Assistant Director - Mayor's Office,Annual,2,1,143436,286872
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3120,Office of Intergovernmental Affairs,0,,1 00,9,9807,Legislative Assistant,Annual,2,1,77988,155976
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3120,Office of Intergovernmental Affairs,0,,3 00,9,9804,Senior Legislative Asst,Annual,1,1,99468,99468
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3120,Office of Intergovernmental Affairs,0,,3 00,9,9804,Senior Legislative Asst,Annual,4,1,92784,371136
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3130,Office of Equity and Racial Justice,0,,1 00,9,9898,Deputy Chief of Staff,Annual,1,1,183804,183804
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3130,Office of Equity and Racial Justice,0,,1 00,9,9875,Senior Project Manager - Mayor's Office,Annual,1,1,121380,121380
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3130,Office of Equity and Racial Justice,0,,1 00,9,9874,Project Manager - Mayor's Office,Annual,1,1,98484,98484
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3130,Office of Equity and Racial Justice,0,,1 00,9,9874,Project Manager - Mayor's Office,Annual,1,1,77844,77844
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3130,Office of Equity and Racial Justice,0,,1 00,9,9873,Assistant Deputy Chief of Staff,Annual,1,1,132720,132720
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3130,Office of Equity and Racial Justice,0,,3 00,9,9866,Senior Analyst - Mayor's Office,Annual,1,1,89172,89172
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3135,Office of Neighborhood and Economic Development,0,,1 00,9,9875,Senior Project Manager - Mayor's Office,Annual,1,1,106644,106644
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3135,Office of Neighborhood and Economic Development,0,,1 00,9,9874,Project Manager - Mayor's Office,Annual,1,1,84876,84876
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3135,Office of Neighborhood and Economic Development,0,,1 00,9,9872,Deputy Mayor,Annual,1,1,183804,183804
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3135,Office of Neighborhood and Economic Development,0,,1 00,9,9871,Assistant Deputy Mayor,Annual,1,1,143436,143436
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3135,Office of Neighborhood and Economic Development,0,,3 00,9,9865,Analyst - Mayor's Office,Annual,1,1,66840,66840
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3140,Office of Community Safety,0,,1 00,9,9875,Senior Project Manager - Mayor's Office,Annual,1,1,128112,128112
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3140,Office of Community Safety,0,,1 00,9,9874,Project Manager - Mayor's Office,Annual,2,1,100476,200952
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3140,Office of Community Safety,0,,1 00,9,9874,Project Manager - Mayor's Office,Annual,2,1,94692,189384
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3140,Office of Community Safety,0,,1 00,9,9874,Project Manager - Mayor's Office,Annual,1,1,93576,93576
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3140,Office of Community Safety,0,,1 00,9,9872,Deputy Mayor,Annual,1,1,183804,183804
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3140,Office of Community Safety,0,,1 00,9,9871,Assistant Deputy Mayor,Annual,1,1,150384,150384
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3140,Office of Community Safety,0,,1 00,0,9637,Administrative Assistant,Annual,1,1,58524,58524
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3145,Office of Policy,0,,1 00,9,9898,Deputy Chief of Staff,Annual,1,1,183804,183804
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3145,Office of Policy,0,,1 00,9,9874,Project Manager - Mayor's Office,Annual,1,1,94692,94692
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3145,Office of Policy,0,,1 00,9,9873,Assistant Deputy Chief of Staff,Annual,2,1,138132,276264
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3145,Office of Policy,0,,1 00,9,9873,Assistant Deputy Chief of Staff,Annual,1,1,132720,132720
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3145,Office of Policy,0,,3 00,9,9866,Senior Analyst - Mayor's Office,Annual,1,1,112080,112080
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3145,Office of Policy,0,,3 00,9,9866,Senior Analyst - Mayor's Office,Annual,1,1,94680,94680
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3145,Office of Policy,0,,3 00,9,9866,Senior Analyst - Mayor's Office,Annual,1,1,89124,89124
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3160,Office of Immigrant  Migrant and Refugee Services,0,,1 00,9,9872,Deputy Mayor,Annual,1,1,183804,183804
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3160,Office of Immigrant  Migrant and Refugee Services,0,,1 00,9,9871,Assistant Deputy Mayor,Annual,1,1,143436,143436
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3170,Office of Labor Relations,0,,1 00,9,9875,Senior Project Manager - Mayor's Office,Annual,1,1,120180,120180
LOCAL,1,Office of the Mayor,100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3170,Office of Labor Relations,0,,1 00,9,9872,Deputy Mayor,Annual,1,1,183804,183804
LOCAL,3,Office of Inspector General,100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3010,Operations,0,,1 00,9,9903,Inspector General,Annual,1,1,189360,189360
LOCAL,3,Office of Inspector General,100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3010,Operations,0,,BX 13,20,1396,Human Resources Associate - IG,Annual,1,1,58896,58896
LOCAL,3,Office of Inspector General,100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3010,Operations,0,,BX 18,10,1307,Manager of Human Resources,Annual,1,1,86520,86520
LOCAL,3,Office of Inspector General,100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3010,Operations,0,,GY 04,20,1169,Operations Analyst - IG,Annual,1,1,55068,55068
LOCAL,3,Office of Inspector General,100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3010,Operations,0,,BX 15,10,802,Executive Administrative Assistant II,Annual,1,1,70872,70872
LOCAL,3,Office of Inspector General,100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3010,Operations,0,,BX 17,10,790,Public Relations Coordinator,Annual,1,1,86520,86520
LOCAL,3,Office of Inspector General,100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3010,Operations,0,,BX 17,10,790,Public Relations Coordinator,Annual,1,1,82644,82644
LOCAL,3,Office of Inspector General,100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3010,Operations,0,,B 15,1,729,Information Coordinator,Annual,1,1,77892,77892
LOCAL,3,Office of Inspector General,100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3010,Operations,0,,3 00,0,705,Director of Public Affairs,Annual,1,1,116640,116640
LOCAL,3,Office of Inspector General,100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3010,Operations,0,,BX 12,20,323,Administrative Assistant III - Excluded,Annual,1,1,53664,53664
LOCAL,3,Office of Inspector General,100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3010,Operations,0,,BX 17,20,126,Financial Officer,Annual,1,1,110256,110256
LOCAL,3,Office of Inspector General,100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3010,Operations,0,,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,8234,8234
LOCAL,3,Office of Inspector General,100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3015,Legal,0,,X 32,9,9756,General Counsel,Annual,1,1,163068,163068
LOCAL,3,Office of Inspector General,100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3015,Legal,0,,3 00,10,1645,Associate Staff Attorney,Annual,1,1,68844,68844
LOCAL,3,Office of Inspector General,100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3015,Legal,0,,BX 15,10,1611,Case Analyst,Annual,1,1,67656,67656
LOCAL,3,Office of Inspector General,100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3015,Legal,0,,X 33,0,1262,Assistant Inspector General,Annual,6,1,118128,708768
LOCAL,3,Office of Inspector General,100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3015,Legal,0,,BX 12,10,1230,Complaint Intake Specialist - IGO,Annual,1,1,56172,56172
LOCAL,3,Office of Inspector General,100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3015,Legal,0,,BX 12,10,1230,Complaint Intake Specialist - IGO,Annual,2,1,53664,107328
LOCAL,3,Office of Inspector General,100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3015,Legal,0,,BX 12,10,1230,Complaint Intake Specialist - IGO,Annual,1,1,51180,51180
LOCAL,3,Office of Inspector General,100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3015,Legal,0,,X 32,9,1215,Chief Assistant Inspector General,Annual,1,1,135084,135084
LOCAL,3,Office of Inspector General,100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3015,Legal,0,,X 33,0,1202,Associate General Counsel - IG,Annual,3,1,142536,427608
LOCAL,3,Office of Inspector General,100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3015,Legal,0,,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,58893,58893
LOCAL,3,Office of Inspector General,100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3020,Investigations,0,,X 32,9,9659,Deputy Inspector General,Annual,1,1,152748,152748
LOCAL,3,Office of Inspector General,100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3020,Investigations,0,,X 33,0,1260,Chief Investigator - IG,Annual,2,1,133524,267048
LOCAL,3,Office of Inspector General,100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3020,Investigations,0,,GY 09,0,1222,Investigator III - IG,Annual,3,1,118992,356976
LOCAL,3,Office of Inspector General,100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3020,Investigations,0,,GY 09,0,1222,Investigator III - IG,Annual,1,1,98664,98664
LOCAL,3,Office of Inspector General,100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3020,Investigations,0,,GY 08,0,1221,Investigator II - IG,Annual,1,1,90444,90444
LOCAL,3,Office of Inspector General,100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3020,Investigations,0,,GY 08,0,1221,Investigator II - IG,Annual,1,1,86520,86520
LOCAL,3,Office of Inspector General,100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3020,Investigations,0,,GY 08,0,1221,Investigator II - IG,Annual,1,1,82752,82752
LOCAL,3,Office of Inspector General,100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3020,Investigations,0,,GY 06,0,1219,Investigator I - IG,Annual,2,1,73800,147600
LOCAL,3,Office of Inspector General,100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3020,Investigations,0,,GY 06,0,1219,Investigator I - IG,Annual,3,1,66852,200556
LOCAL,3,Office of Inspector General,100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3020,Investigations,0,,BX 12,20,323,Administrative Assistant III - Excluded,Annual,1,1,58896,58896
LOCAL,3,Office of Inspector General,100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3020,Investigations,0,,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,25833,25833
LOCAL,3,Office of Inspector General,100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3027,Audit and Program Review,0,,GY 08,20,1126,Senior Performance Analyst,Annual,1,1,94500,94500
LOCAL,3,Office of Inspector General,100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3027,Audit and Program Review,0,,GY 08,20,1126,Senior Performance Analyst,Annual,1,1,90444,90444
LOCAL,3,Office of Inspector General,100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3027,Audit and Program Review,0,,GY 08,20,1126,Senior Performance Analyst,Annual,1,1,82752,82752
LOCAL,3,Office of Inspector General,100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3027,Audit and Program Review,0,,GY 07,20,1125,Performance Analyst,Annual,1,1,86520,86520
LOCAL,3,Office of Inspector General,100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3027,Audit and Program Review,0,,GY 07,20,1125,Performance Analyst,Annual,1,1,77400,77400
LOCAL,3,Office of Inspector General,100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3027,Audit and Program Review,0,,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,7932,7932
LOCAL,3,Office of Inspector General,100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3032,Public Safety Audit,0,,X 32,9,9659,Deputy Inspector General,Annual,1,1,163068,163068
